Element,Count
Woody,35028
Powdery,30230
Sweet,29074
Citrus,25666
Floral,25328
Fruity,21403
White Floral,20902
Warm Spicy,20360
Aromatic,20288
Musky,20147
Amber,19544
Vanilla,16923
Fresh Spicy,16766
Fresh,15476
Rose,13884
Green,12924
Earthy,8822
Balsamic,8225
Patchouli,7617
Animalic,6608
Soft Spicy,5314
Aquatic,4269
Violet,4245
Yellow Floral,4231
Iris,4143
Leather,4075
Oud,3865
Tropical,3420
Lactonic,3180
Smoky,3078
Herbal,3063
Mossy,2647
Ozonic,2598
Tuberose,2312
Lavender,2255
Caramel,1792
Honey,1765
Cinnamon,1733
Almond,1705
Nutty,1668
Tobacco,1613
Coconut,1528
Marine,1422
Aldehydic,1309
,1117
Metallic,1087
Salty,892
Cacao,876
Chocolate,816
Coffee,783
Cherry,759
Anis,655
Conifer,579
Soapy,499
Rum,486
Sour,388
Mineral,326
Camphor,274
Savory,217
Whiskey,206
Beeswax,197
Bitter,193
Champagne,177
Cannabis,156
Terpenic,117
Sand,114
Wine,110
Oily,102
Alcohol,74
Vodka,46
Coca-Cola,37
Clay,23
Paper,21
Plastic,12
Vinyl,12
Asphault,10
Gasoline,9
Hot Iron,5
Rubber,5
Industrial Glue,4
Tennis Ball,4
Pear,4
Milky,3
Bacon,3
Sake,3
Meat,2
Brown Scotch Tape,1
Bbq,1
Wet Plaster,1
Gourmand,1
